,Condition,Variety,Type,Frequency
4978,GPT,GPT,Mid,4
4979,GPT,GPT,Low,3
4980,GPT,GPT,High,19
4981,GPT,GPT,Mid,3
4982,GPT,GPT,Low,1
4983,GPT,GPT,High,10
4984,GPT,GPT,Mid,4
4985,GPT,GPT,Low,3
4986,GPT,GPT,High,13
4987,GPT,GPT,Mid,7
4988,GPT,GPT,Low,6
4989,GPT,GPT,High,16
4990,GPT,GPT,Mid,2
4991,GPT,GPT,Low,5
4992,GPT,GPT,High,21
4993,GPT,GPT,Mid,11
4994,GPT,GPT,Low,3
4995,GPT,GPT,High,10
4996,GPT,GPT,Mid,6
4997,GPT,GPT,Low,3
4998,GPT,GPT,High,17
4999,GPT,GPT,Mid,10
5000,GPT,GPT,Low,3
5001,GPT,GPT,High,13
5002,GPT,GPT,Mid,3
5003,GPT,GPT,Low,4
5004,GPT,GPT,High,17
5005,GPT,GPT,Mid,8
5006,GPT,GPT,Low,2
5007,GPT,GPT,High,10
5008,GPT,GPT,Mid,6
5009,GPT,GPT,Low,4
5010,GPT,GPT,High,17
5011,GPT,GPT,Mid,4
5012,GPT,GPT,Low,4
5013,GPT,GPT,High,7
5014,GPT,GPT,Mid,6
5015,GPT,GPT,Low,3
5016,GPT,GPT,High,15
5017,GPT,GPT,Mid,11
5018,GPT,GPT,Low,1
5019,GPT,GPT,High,14
5020,GPT,GPT,Mid,6
5021,GPT,GPT,Low,2
5022,GPT,GPT,High,22
5023,GPT,GPT,Mid,8
5024,GPT,GPT,Low,2
5025,GPT,GPT,High,10
5026,GPT,GPT,Mid,8
5027,GPT,GPT,Low,4
5028,GPT,GPT,High,16
5029,GPT,GPT,Mid,4
5030,GPT,GPT,Low,2
5031,GPT,GPT,High,14
5032,GPT,GPT,Mid,10
5033,GPT,GPT,Low,3
5034,GPT,GPT,High,20
5035,GPT,GPT,Mid,15
5036,GPT,GPT,Low,3
5037,GPT,GPT,High,14
5038,GPT,GPT,Mid,8
5039,GPT,GPT,Low,1
5040,GPT,GPT,High,20
5041,GPT,GPT,Mid,6
5042,GPT,GPT,Low,1
5043,GPT,GPT,High,8
5044,GPT,GPT,Mid,5
5045,GPT,GPT,Low,2
5046,GPT,GPT,High,19
5047,GPT,GPT,Mid,3
5048,GPT,GPT,Low,0
5049,GPT,GPT,High,10
5050,GPT,GPT,Mid,9
5051,GPT,GPT,Low,5
5052,GPT,GPT,High,13
5053,GPT,GPT,Mid,7
5054,GPT,GPT,Low,3
5055,GPT,GPT,High,11
5056,GPT,GPT,Mid,6
5057,GPT,GPT,Low,5
5058,GPT,GPT,High,10
5059,GPT,GPT,Mid,4
5060,GPT,GPT,Low,4
5061,GPT,GPT,High,7
5062,GPT,GPT,Mid,2
5063,GPT,GPT,Low,4
5064,GPT,GPT,High,19
5065,GPT,GPT,Mid,10
5066,GPT,GPT,Low,3
5067,GPT,GPT,High,10
5068,GPT,GPT,Mid,3
5069,GPT,GPT,Low,3
5070,GPT,GPT,High,12
5071,GPT,GPT,Mid,5
5072,GPT,GPT,Low,2
5073,GPT,GPT,High,14
5074,GPT,GPT,Mid,8
5075,GPT,GPT,Low,3
5076,GPT,GPT,High,20
5077,GPT,GPT,Mid,3
5078,GPT,GPT,Low,3
5079,GPT,GPT,High,17
5080,GPT,GPT,Mid,7
5081,GPT,GPT,Low,1
5082,GPT,GPT,High,17
5083,GPT,GPT,Mid,6
5084,GPT,GPT,Low,2
5085,GPT,GPT,High,15
5086,GPT,GPT,Mid,4
5087,GPT,GPT,Low,2
5088,GPT,GPT,High,17
5089,GPT,GPT,Mid,2
5090,GPT,GPT,Low,4
5091,GPT,GPT,High,17
5092,GPT,GPT,Mid,5
5093,GPT,GPT,Low,6
5094,GPT,GPT,High,16
5095,GPT,GPT,Mid,7
5096,GPT,GPT,Low,4
5097,GPT,GPT,High,8
5098,GPT,GPT,Mid,10
5099,GPT,GPT,Low,1
5100,GPT,GPT,High,13
5101,GPT,GPT,Mid,3
5102,GPT,GPT,Low,2
5103,GPT,GPT,High,10
5104,GPT,GPT,Mid,4
5105,GPT,GPT,Low,1
5106,GPT,GPT,High,23
5107,GPT,GPT,Mid,3
5108,GPT,GPT,Low,1
5109,GPT,GPT,High,26
5110,GPT,GPT,Mid,9
5111,GPT,GPT,Low,3
5112,GPT,GPT,High,16
5113,GPT,GPT,Mid,13
5114,GPT,GPT,Low,3
5115,GPT,GPT,High,6
5116,GPT,GPT,Mid,9
5117,GPT,GPT,Low,2
5118,GPT,GPT,High,17
5119,GPT,GPT,Mid,8
5120,GPT,GPT,Low,4
5121,GPT,GPT,High,14
5122,GPT,GPT,Mid,8
5123,GPT,GPT,Low,2
5124,GPT,GPT,High,13
5125,GPT,GPT,Mid,7
5126,GPT,GPT,Low,3
5127,GPT,GPT,High,8
5128,GPT,GPT,Mid,5
5129,GPT,GPT,Low,4
5130,GPT,GPT,High,17
5131,GPT,GPT,Mid,6
5132,GPT,GPT,Low,2
5133,GPT,GPT,High,15
5134,GPT,GPT,Mid,2
5135,GPT,GPT,Low,1
5136,GPT,GPT,High,15
5137,GPT,GPT,Mid,6
5138,GPT,GPT,Low,0
5139,GPT,GPT,High,12
5140,GPT,GPT,Mid,8
5141,GPT,GPT,Low,4
5142,GPT,GPT,High,16
5143,GPT,GPT,Mid,5
5144,GPT,GPT,Low,1
5145,GPT,GPT,High,10
5146,GPT,GPT,Mid,3
5147,GPT,GPT,Low,4
5148,GPT,GPT,High,14
5149,GPT,GPT,Mid,7
5150,GPT,GPT,Low,6
5151,GPT,GPT,High,10
5152,GPT,GPT,Mid,6
5153,GPT,GPT,Low,2
5154,GPT,GPT,High,15
5155,GPT,GPT,Mid,4
5156,GPT,GPT,Low,4
5157,GPT,GPT,High,14
5158,GPT,GPT,Mid,6
5159,GPT,GPT,Low,4
5160,GPT,GPT,High,21
5161,GPT,GPT,Mid,11
5162,GPT,GPT,Low,3
5163,GPT,GPT,High,10
5164,GPT,GPT,Mid,2
5165,GPT,GPT,Low,0
